Header:Begin
Name: F1NE Age of Oil Status
TreeID: Age_of_Oil
Scope: Account: F1NE
Version: 2.2.0
Format: Table
Schema: TechTreeStatus
Header:End

Data:Begin
# NodeID                 | CurrentLevel | Status
Unlock_Oil_Well          | 1            | Complete
Food_Output_V            | 1            | -
Iron_Output_V            | 1            | -
Coin_Output_V            | 8            | 1d 02:00:00
Oil_Output_I             | 10           | Complete
Fast_Builder_V           | 10           | Complete
Research_Adv_V           | 10           | Complete
Unlock_Tech_Ctr_3        | 1            | Complete
Focused_Training_V       | 1            | -
Rapid_Field_Dressing_V   | 1            | -
Oil_Output_II            | 10           | Complete
Infirmary_Expansion_V    | 1            | -
Emergency_Capacity_I     | 1            | -
More_Oil_Wells           | 1            | Complete
Training_Cost_I          | 1            | 01d 04:00:00
Healing_Cost_II          | 2            | -
Parts_Workshop           | 1            | Complete
Oil_Output_III           | 10           | Complete
Base_Expansion_I         | 1            | Complete
Data:End
